,id,carat,depth,table,x,y,z,price,cut_score,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
82,82,0.7,61.2,57.0,5.73,5.77,3.52,8.054,5,0,0,0,1,0,0,0,0,0,0,1,0,0
83,83,1.0,61.5,58.0,6.39,6.42,3.94,8.795,4,1,0,0,0,0,0,0,0,0,0,1,0,0
84,84,0.46,61.7,60.0,4.94,4.98,3.06,7.253,3,0,0,1,0,0,0,0,0,0,0,0,1,0
85,85,0.7,62.1,58.0,5.7,5.64,3.52,7.835,4,0,1,0,0,0,0,0,1,0,0,0,0,0
86,86,0.3,62.4,57.0,4.27,4.29,2.67,6.213,5,1,0,0,0,0,0,0,1,0,0,0,0,0
87,87,2.0,68.7,55.0,7.9,7.67,5.35,9.164,1,0,0,0,1,0,0,0,0,1,0,0,0,0
88,88,0.61,61.7,56.0,5.46,5.43,3.36,7.708,5,1,0,0,0,0,0,0,0,0,0,1,0,0
89,89,2.0,60.7,60.0,8.07,8.11,4.91,9.636,4,0,0,0,1,0,0,0,0,1,0,0,0,0
90,90,0.28,62.1,59.0,4.16,4.21,2.6,6.188,3,0,1,0,0,0,0,0,0,0,1,0,0,0
91,91,0.53,62.1,54.0,5.2,5.24,3.24,6.953,5,0,0,0,0,1,0,0,0,0,0,1,0,0
92,92,1.0,59.8,59.0,6.49,6.55,3.9,8.529,4,0,1,0,0,0,0,0,1,0,0,0,0,0
93,93,0.64,61.2,62.0,5.56,5.52,3.39,7.428,4,1,0,0,0,0,0,0,1,0,0,0,0,0
94,94,0.7,62.0,59.0,5.61,5.68,3.5,7.724,3,1,0,0,0,0,0,0,0,1,0,0,0,0
95,95,0.41,61.7,55.0,4.8,4.82,2.97,6.418,5,0,0,0,0,0,1,0,0,0,0,1,0,0
96,96,0.32,62.3,56.0,4.39,4.37,2.73,6.719,5,0,0,1,0,0,0,0,0,0,1,0,0,0
97,97,1.52,64.7,58.0,7.19,7.22,4.66,8.84,1,0,0,0,0,1,0,0,0,1,0,0,0,0
98,98,1.0,63.3,57.0,6.28,6.32,3.99,8.54,3,1,0,0,0,0,0,0,1,0,0,0,0,0
99,99,0.36,62.3,56.0,4.57,4.54,2.84,6.959,5,0,0,0,1,0,0,0,0,0,0,0,1,0
100,100,0.52,61.1,57.0,5.2,5.17,3.16,7.412,5,1,0,0,0,0,0,0,1,0,0,0,0,0
101,101,1.09,62.3,55.0,6.58,6.61,4.11,8.542,5,0,0,0,1,0,0,0,1,0,0,0,0,0
102,102,0.32,63.6,55.0,4.35,4.42,2.79,6.488,2,0,0,0,0,0,0,0,0,0,0,1,0,0
103,103,0.79,62.1,59.0,5.9,5.86,3.65,8.196,4,1,0,0,0,0,0,0,0,0,0,1,0,0
104,104,0.4,60.8,62.0,4.74,4.77,2.89,6.985,2,0,0,0,0,0,0,0,0,0,0,0,0,1
105,105,1.28,61.1,61.0,7.01,6.96,4.27,8.792,4,0,0,0,0,1,0,0,0,0,1,0,0,0
106,106,0.91,65.7,58.0,6.04,5.99,3.95,8.32,1,0,0,0,0,0,0,0,0,0,0,1,0,0
107,107,0.53,60.9,57.0,5.19,5.25,3.18,7.438,5,1,0,0,0,0,0,0,0,0,1,0,0,0
108,108,0.46,62.4,54.4,4.93,4.98,3.09,7.175,5,0,0,1,0,0,0,0,0,0,0,0,0,1
109,109,0.5,62.9,54.0,5.09,5.05,3.19,7.506,5,0,0,0,0,0,0,0,0,0,0,1,0,0
110,110,2.08,62.3,58.0,8.18,8.13,5.08,9.612,4,0,0,0,0,1,0,0,0,1,0,0,0,0
111,111,1.24,59.4,58.0,7.04,7.09,4.2,8.818,3,0,0,0,0,1,0,0,0,0,1,0,0,0
112,112,1.3,61.1,58.0,6.98,7.02,4.28,8.724,3,0,1,0,0,0,0,0,0,1,0,0,0,0
113,113,0.71,63.5,58.0,5.63,5.67,3.59,7.559,3,0,0,0,0,0,1,0,1,0,0,0,0,0
114,114,0.55,61.3,57.0,5.25,5.28,3.23,7.419,5,0,0,1,0,0,0,0,0,0,1,0,0,0
115,115,1.2,61.4,60.0,6.86,6.81,4.2,9.059,4,0,0,1,0,0,0,0,0,0,1,0,0,0
116,116,0.4,62.4,56.0,4.72,4.74,2.95,6.89,5,0,0,1,0,0,0,0,0,0,0,0,0,1
117,117,1.06,59.4,57.0,6.65,6.72,3.97,8.65,3,0,0,0,0,0,0,0,1,0,0,0,0,0
118,118,0.71,61.5,57.0,5.73,5.75,3.53,7.97,5,0,0,1,0,0,0,0,0,0,0,0,0,1
119,119,0.31,61.9,54.7,4.34,4.36,2.69,6.061,5,0,0,0,0,0,1,0,0,0,1,0,0,0
120,120,1.0,64.4,57.0,6.35,6.29,4.07,8.068,1,0,0,0,1,0,0,0,0,1,0,0,0,0
121,121,0.74,63.1,58.0,5.76,5.72,3.62,7.554,3,0,1,0,0,0,0,0,0,1,0,0,0,0
122,122,0.32,63.3,57.0,4.39,4.36,2.77,6.628,3,0,0,0,0,0,0,0,1,0,0,0,0,0
123,123,0.31,62.7,57.0,4.34,4.31,2.71,6.548,5,0,0,1,0,0,0,0,0,0,0,1,0,0
124,124,0.35,62.4,58.0,5.67,5.64,3.53,6.855,4,0,0,0,0,0,1,0,0,0,1,0,0,0
125,125,0.32,61.8,56.0,4.39,4.41,2.72,6.973,5,0,0,0,0,0,0,0,0,0,0,0,1,0
126,126,0.77,62.3,58.0,5.86,5.89,3.66,7.499,3,0,0,0,0,0,1,0,1,0,0,0,0,0
127,127,1.12,61.6,59.0,6.63,6.67,4.1,8.569,4,0,0,0,1,0,0,0,1,0,0,0,0,0
128,128,0.61,60.6,60.3,5.46,5.51,3.32,7.659,2,0,1,0,0,0,0,0,0,0,1,0,0,0
129,129,1.19,62.0,57.0,6.78,6.76,4.2,9.038,5,0,1,0,0,0,0,0,0,0,0,1,0,0
130,130,0.31,60.7,58.0,4.42,4.38,2.67,6.385,4,0,0,0,0,1,0,0,1,0,0,0,0,0
131,131,1.0,62.9,59.0,6.38,6.27,3.98,8.758,4,1,0,0,0,0,0,0,0,0,0,1,0,0
132,132,1.16,62.1,57.0,6.73,6.7,4.17,9.01,5,0,0,0,0,0,0,0,0,0,0,1,0,0
133,133,1.24,63.5,55.0,6.82,6.86,4.35,8.931,2,1,0,0,0,0,0,0,1,0,0,0,0,0
134,134,0.51,60.4,56.0,5.18,5.22,3.14,7.628,5,0,1,0,0,0,0,0,0,0,0,0,0,1
135,135,0.51,61.0,58.0,5.2,5.16,3.16,7.372,4,0,0,1,0,0,0,0,0,0,1,0,0,0
136,136,0.74,66.1,61.0,5.6,5.57,3.69,7.845,1,0,0,0,1,0,0,0,0,0,0,1,0,0
137,137,1.32,62.2,58.0,7.04,6.99,4.36,8.746,4,0,0,0,0,1,0,0,1,0,0,0,0,0
138,138,0.4,61.6,57.0,4.71,4.74,2.91,6.685,5,0,0,0,1,0,0,0,0,0,0,1,0,0
139,139,1.06,60.9,57.0,6.58,6.62,4.02,8.546,5,1,0,0,0,0,0,0,0,1,0,0,0,0
140,140,0.55,63.3,54.0,5.21,5.24,3.31,7.037,2,1,0,0,0,0,0,0,1,0,0,0,0,0
141,141,0.39,63.6,58.0,4.65,4.6,2.94,6.825,2,0,1,0,0,0,0,0,1,0,0,0,0,0
142,142,1.2,61.7,56.0,6.81,6.88,4.22,8.798,5,0,0,0,0,0,0,0,0,1,0,0,0,0
143,143,1.7,63.4,57.0,7.54,7.57,4.79,9.314,3,0,1,0,0,0,0,0,0,1,0,0,0,0
144,144,0.26,62.0,56.0,4.13,4.1,2.55,6.645,5,1,0,0,0,0,0,0,0,0,0,0,0,1
145,145,0.77,63.2,58.0,5.79,5.85,3.68,7.829,3,0,0,0,0,1,0,0,0,0,0,1,0,0
146,146,1.0,63.2,56.0,6.35,6.3,4.0,9.008,3,0,1,0,0,0,0,0,0,0,0,0,0,1
147,147,0.93,62.6,57.0,6.26,6.2,3.9,8.328,4,0,0,0,0,0,0,0,0,1,0,0,0,0
148,148,1.02,62.1,56.0,6.4,6.45,3.99,8.273,5,0,0,0,1,0,0,0,0,0,0,0,0,0
149,149,0.4,62.0,56.0,4.74,4.68,2.92,6.751,5,0,0,0,1,0,0,0,1,0,0,0,0,0
150,150,2.0,65.2,59.0,7.74,7.69,5.03,9.258,1,0,0,0,0,1,0,0,0,1,0,0,0,0
151,151,0.9,62.7,58.0,6.06,6.15,3.83,8.447,4,0,0,1,0,0,0,0,0,0,1,0,0,0
152,152,0.83,62.5,54.0,6.08,6.02,3.78,8.176,4,0,0,0,0,0,0,0,1,0,0,0,0,0
153,153,0.4,64.4,52.0,4.63,4.68,3.0,6.819,3,0,0,0,0,0,0,0,0,0,0,1,0,0
154,154,0.51,64.8,58.0,5.07,5.02,3.27,7.12,1,1,0,0,0,0,0,0,1,0,0,0,0,0
155,155,1.52,59.9,60.0,7.47,7.39,4.45,9.728,4,1,0,0,0,0,0,0,0,0,1,0,0,0
156,156,0.52,59.2,58.0,5.28,5.31,3.14,7.623,3,0,0,1,0,0,0,0,0,0,0,0,1,0
157,157,1.01,65.1,58.0,6.29,6.21,4.07,8.149,1,0,0,1,0,0,0,0,0,1,0,0,0,0
158,158,1.1,59.4,60.0,6.78,6.72,4.01,8.857,4,0,0,1,0,0,0,0,0,0,0,1,0,0
159,159,1.02,62.6,57.0,6.43,6.41,4.02,8.686,5,0,0,1,0,0,0,0,0,0,0,1,0,0
160,160,0.71,62.7,59.0,5.65,5.67,3.55,7.985,3,0,0,0,1,0,0,0,0,0,0,0,1,0
161,161,1.51,61.2,61.0,7.44,7.33,4.52,9.488,4,0,0,1,0,0,0,0,0,0,0,1,0,0
162,162,0.36,61.2,59.0,4.59,4.56,2.8,6.535,4,0,0,0,0,0,0,0,0,1,0,0,0,0
163,163,2.08,58.9,61.0,8.36,8.35,4.92,9.823,4,0,0,0,0,1,0,0,0,0,0,1,0,0
164,164,0.4,60.9,60.0,4.75,4.77,2.9,6.603,4,1,0,0,0,0,0,0,1,0,0,0,0,0
165,165,1.71,62.4,56.0,7.59,7.63,4.75,9.241,5,0,0,0,0,0,1,0,0,0,1,0,0,0
166,166,0.52,63.1,56.0,5.12,5.08,3.22,7.048,3,0,0,1,0,0,0,0,0,1,0,0,0,0
167,167,0.51,61.9,55.0,5.07,5.1,3.15,7.279,5,0,0,1,0,0,0,0,0,0,0,1,0,0
168,168,0.28,61.5,56.0,4.24,4.27,2.61,6.561,3,0,1,0,0,0,0,0,0,0,0,0,1,0
169,169,0.71,62.1,59.0,5.64,5.73,3.53,7.76,3,0,1,0,0,0,0,0,1,0,0,0,0,0
170,170,0.32,61.2,58.0,4.39,4.43,2.7,6.548,5,0,0,1,0,0,0,0,0,0,0,0,0,1
171,171,1.15,63.0,59.0,6.68,6.63,4.19,8.591,4,0,0,1,0,0,0,0,1,0,0,0,0,0
172,172,0.27,62.4,56.0,4.13,4.16,2.58,6.223,3,0,0,1,0,0,0,0,0,0,0,0,0,1
173,173,0.31,63.6,57.0,4.32,4.33,2.75,6.1,2,0,0,0,1,0,0,0,1,0,0,0,0,0
174,174,1.02,62.4,58.0,6.37,6.42,3.99,8.798,3,0,0,1,0,0,0,0,0,0,1,0,0,0
175,175,1.05,60.2,57.0,6.58,6.65,3.98,8.503,5,0,0,0,0,0,0,0,0,1,0,0,0,0
176,176,2.21,61.0,58.0,8.36,8.43,5.12,9.825,3,0,1,0,0,0,0,0,0,1,0,0,0,0
177,177,0.31,63.2,58.0,4.33,4.31,2.73,6.443,3,0,0,0,1,0,0,0,0,0,0,1,0,0
178,178,0.7,62.7,60.0,5.64,5.59,3.52,7.899,4,1,0,0,0,0,0,0,0,0,1,0,0,0
179,179,0.37,62.6,63.0,4.6,4.5,2.85,6.196,3,0,0,0,1,0,0,0,1,0,0,0,0,0
180,180,0.31,62.4,55.0,4.32,4.3,2.69,6.548,5,0,0,1,0,0,0,0,0,0,0,1,0,0
181,181,0.61,62.7,57.0,5.36,5.43,3.38,7.641,3,0,0,1,0,0,0,0,0,0,1,0,0,0
182,182,1.06,61.8,55.0,6.54,6.57,4.04,8.648,5,0,0,0,0,1,0,0,1,0,0,0,0,0
183,183,0.38,61.5,54.0,4.69,4.71,2.89,6.492,3,0,1,0,0,0,0,0,1,0,0,0,0,0
184,184,0.38,62.0,57.0,4.69,4.7,2.91,6.782,5,0,0,0,0,0,0,0,0,0,1,0,0,0
185,185,0.31,59.4,59.0,4.41,4.44,2.63,6.299,4,0,0,0,0,1,0,0,0,0,0,0,0,1
186,186,0.3,60.9,59.0,4.36,4.34,2.65,6.227,4,0,0,0,0,1,0,0,1,0,0,0,0,0
187,187,0.3,63.1,58.0,4.31,4.28,2.71,6.921,3,0,0,1,0,0,0,0,0,0,0,0,1,0
188,188,0.7,57.4,63.0,5.89,5.8,3.36,7.135,2,0,0,0,1,0,0,0,0,0,0,0,0,0
189,189,0.54,61.4,57.0,5.23,5.2,3.2,7.429,5,0,0,1,0,0,0,0,0,0,1,0,0,0
190,190,0.5,63.2,57.0,5.06,5.03,3.19,7.396,3,1,0,0,0,0,0,0,0,0,0,1,0,0
191,191,0.8,63.7,55.0,5.91,5.81,3.73,7.208,2,0,0,1,0,0,0,0,0,0,0,0,0,0
192,192,1.06,62.0,61.0,6.55,6.51,4.05,8.61,4,1,0,0,0,0,0,0,1,0,0,0,0,0
193,193,0.53,59.7,63.0,5.22,5.3,3.14,6.828,3,0,0,0,0,1,0,0,1,0,0,0,0,0
194,194,0.3,62.5,56.0,4.3,4.28,2.68,6.657,5,1,0,0,0,0,0,0,0,0,1,0,0,0
195,195,0.32,61.3,57.0,4.4,4.37,2.69,6.719,5,0,1,0,0,0,0,0,0,0,0,1,0,0
196,196,0.31,61.9,54.0,4.36,4.4,2.71,6.461,3,0,0,1,0,0,0,0,0,0,1,0,0,0
197,197,0.3,61.4,56.0,4.32,4.34,2.66,6.678,5,1,0,0,0,0,0,0,0,0,0,1,0,0
198,198,1.32,62.1,57.0,6.99,7.09,4.37,8.826,3,0,0,0,0,1,0,0,1,0,0,0,0,0
199,199,0.76,63.0,59.0,5.76,5.8,3.64,7.889,3,1,0,0,0,0,0,0,1,0,0,0,0,0
200,200,0.34,62.1,55.0,4.49,4.46,2.78,6.863,5,0,0,1,0,0,0,0,0,0,0,0,1,0
201,201,2.01,62.2,63.0,8.01,7.93,4.96,9.427,3,0,0,0,1,0,0,0,0,1,0,0,0,0
202,202,1.72,64.3,60.0,7.52,7.56,4.85,9.51,2,0,1,0,0,0,0,0,1,0,0,0,0,0
203,203,0.33,62.2,56.0,4.46,4.44,2.77,6.75,5,0,0,0,1,0,0,0,0,0,0,0,0,1
204,204,0.97,62.2,56.0,6.34,6.29,3.94,8.281,4,0,0,0,0,1,0,0,0,0,0,1,0,0
205,205,0.5,61.2,56.0,5.1,5.13,3.13,7.516,5,0,0,1,0,0,0,0,0,0,0,0,0,1
206,206,0.4,60.3,58.0,4.8,4.82,2.9,6.888,3,1,0,0,0,0,0,0,0,0,1,0,0,0
207,207,1.73,60.7,58.0,7.73,7.78,4.71,9.117,4,0,0,0,0,0,1,0,1,0,0,0,0,0
208,208,1.0,60.7,60.0,6.4,6.36,3.87,8.574,4,0,1,0,0,0,0,0,1,0,0,0,0,0
209,209,0.4,62.5,60.0,4.67,4.71,2.93,6.39,3,0,0,0,0,0,1,0,0,0,0,1,0,0
210,210,0.63,62.8,57.0,5.4,5.46,3.41,7.542,3,0,0,0,0,0,0,0,1,0,0,0,0,0
211,211,1.15,61.6,55.0,6.74,6.76,4.16,8.934,5,0,0,1,0,0,0,0,0,0,0,1,0,0
212,212,0.7,60.1,59.0,5.79,5.75,3.47,7.575,5,0,0,0,0,0,1,0,1,0,0,0,0,0
213,213,1.51,59.9,60.0,7.46,7.41,4.45,8.965,4,0,0,0,0,0,1,0,1,0,0,0,0,0
214,214,2.01,64.1,62.0,7.94,7.85,5.06,9.517,2,0,0,0,0,1,0,0,1,0,0,0,0,0
215,215,0.31,56.7,60.0,4.57,4.5,2.57,6.702,2,0,1,0,0,0,0,0,0,0,1,0,0,0
216,216,0.23,63.3,57.0,3.9,3.93,2.48,6.17,3,0,0,0,0,0,0,0,0,0,0,0,1,0
217,217,0.38,61.5,58.0,4.64,4.69,2.87,6.908,3,1,0,0,0,0,0,0,0,0,1,0,0,0
218,218,0.78,64.6,53.0,5.83,5.78,3.75,7.746,1,0,1,0,0,0,0,0,0,1,0,0,0,0
219,219,0.36,61.6,55.0,4.58,4.6,2.83,6.771,3,0,1,0,0,0,0,0,0,0,0,0,0,1
220,220,0.31,62.8,58.0,4.27,4.3,2.69,6.438,3,0,0,1,0,0,0,0,0,0,1,0,0,0
221,221,1.51,62.4,57.0,7.35,7.3,4.57,8.943,5,0,0,0,0,0,1,0,0,0,0,1,0,0
222,222,0.39,62.0,56.0,4.72,4.64,2.9,6.878,3,0,1,0,0,0,0,0,0,0,1,0,0,0
223,223,0.5,62.0,57.0,5.08,5.11,3.16,7.279,5,0,0,1,0,0,0,0,0,0,0,1,0,0
224,224,0.4,63.6,59.0,4.67,4.64,2.96,6.767,2,0,1,0,0,0,0,0,1,0,0,0,0,0
225,225,1.16,61.8,55.0,6.75,6.78,4.18,8.542,5,0,0,0,0,0,1,0,1,0,0,0,0,0
226,226,0.41,61.9,55.0,4.8,4.76,2.96,6.981,5,0,1,0,0,0,0,0,0,0,1,0,0,0
227,227,0.45,60.8,58.0,4.98,4.92,3.01,7.188,4,0,0,1,0,0,0,0,0,0,0,0,1,0
228,228,1.0,60.9,58.0,6.43,6.46,3.93,8.573,3,0,0,0,1,0,0,0,1,0,0,0,0,0
