id,carat,cut,color,clarity,depth,table,x,y,z,price
98,1.0,Very Good,E,SI1,63.3,57.0,6.28,6.32,3.99,8.54
99,0.36,Ideal,H,VVS1,62.3,56.0,4.57,4.54,2.84,6.959
100,0.52,Ideal,E,SI1,61.1,57.0,5.2,5.17,3.16,7.412
101,1.09,Ideal,H,SI1,62.3,55.0,6.58,6.61,4.11,8.542
102,0.32,Good,D,VS2,63.6,55.0,4.35,4.42,2.79,6.488
103,0.79,Premium,E,VS2,62.1,59.0,5.9,5.86,3.65,8.196
104,0.4,Good,D,VVS2,60.8,62.0,4.74,4.77,2.89,6.985
105,1.28,Premium,I,VS1,61.1,61.0,7.01,6.96,4.27,8.792
106,0.91,Fair,D,VS2,65.7,58.0,6.04,5.99,3.95,8.32
107,0.53,Ideal,E,VS1,60.9,57.0,5.19,5.25,3.18,7.438
108,0.46,Ideal,G,VVS2,62.4,54.4,4.93,4.98,3.09,7.175
109,0.5,Ideal,D,VS2,62.9,54.0,5.09,5.05,3.19,7.506
110,2.08,Premium,I,SI2,62.3,58.0,8.18,8.13,5.08,9.612
111,1.24,Very Good,I,VS1,59.4,58.0,7.04,7.09,4.2,8.818
112,1.3,Very Good,F,SI2,61.1,58.0,6.98,7.02,4.28,8.724
113,0.71,Very Good,J,SI1,63.5,58.0,5.63,5.67,3.59,7.559
114,0.55,Ideal,G,VS1,61.3,57.0,5.25,5.28,3.23,7.419
115,1.2,Premium,G,VS1,61.4,60.0,6.86,6.81,4.2,9.059
116,0.4,Ideal,G,VVS2,62.4,56.0,4.72,4.74,2.95,6.89
117,1.06,Very Good,D,SI1,59.4,57.0,6.65,6.72,3.97,8.65
118,0.71,Ideal,G,VVS2,61.5,57.0,5.73,5.75,3.53,7.97
119,0.31,Ideal,J,VS1,61.9,54.7,4.34,4.36,2.69,6.061
120,1.0,Fair,H,SI2,64.4,57.0,6.35,6.29,4.07,8.068
121,0.74,Very Good,F,SI2,63.1,58.0,5.76,5.72,3.62,7.554
122,0.32,Very Good,D,SI1,63.3,57.0,4.39,4.36,2.77,6.628
123,0.31,Ideal,G,VS2,62.7,57.0,4.34,4.31,2.71,6.548
124,0.35,Premium,J,VS1,62.4,58.0,5.67,5.64,3.53,6.855
125,0.32,Ideal,D,VVS1,61.8,56.0,4.39,4.41,2.72,6.973
126,0.77,Very Good,J,SI1,62.3,58.0,5.86,5.89,3.66,7.499
127,1.12,Premium,H,SI1,61.6,59.0,6.63,6.67,4.1,8.569
128,0.61,Good,F,VS1,60.6,60.3,5.46,5.51,3.32,7.659
129,1.19,Ideal,F,VS2,62.0,57.0,6.78,6.76,4.2,9.038
130,0.31,Premium,I,SI1,60.7,58.0,4.42,4.38,2.67,6.385
131,1.0,Premium,E,VS2,62.9,59.0,6.38,6.27,3.98,8.758
132,1.16,Ideal,D,VS2,62.1,57.0,6.73,6.7,4.17,9.01
133,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,8.931
134,0.51,Ideal,F,VVS2,60.4,56.0,5.18,5.22,3.14,7.628
135,0.51,Premium,G,VS1,61.0,58.0,5.2,5.16,3.16,7.372
136,0.74,Fair,H,VS2,66.1,61.0,5.6,5.57,3.69,7.845
137,1.32,Premium,I,SI1,62.2,58.0,7.04,6.99,4.36,8.746
138,0.4,Ideal,H,VS2,61.6,57.0,4.71,4.74,2.91,6.685
139,1.06,Ideal,E,SI2,60.9,57.0,6.58,6.62,4.02,8.546
140,0.55,Good,E,SI1,63.3,54.0,5.21,5.24,3.31,7.037
141,0.39,Good,F,SI1,63.6,58.0,4.65,4.6,2.94,6.825
142,1.2,Ideal,D,SI2,61.7,56.0,6.81,6.88,4.22,8.798
143,1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,9.314
144,0.26,Ideal,E,VVS2,62.0,56.0,4.13,4.1,2.55,6.645
145,0.77,Very Good,I,VS2,63.2,58.0,5.79,5.85,3.68,7.829
146,1.0,Very Good,F,VVS2,63.2,56.0,6.35,6.3,4.0,9.008
147,0.93,Premium,D,SI2,62.6,57.0,6.26,6.2,3.9,8.328
148,1.02,Ideal,H,I1,62.1,56.0,6.4,6.45,3.99,8.273
149,0.4,Ideal,H,SI1,62.0,56.0,4.74,4.68,2.92,6.751
150,2.0,Fair,I,SI2,65.2,59.0,7.74,7.69,5.03,9.258
151,0.9,Premium,G,VS1,62.7,58.0,6.06,6.15,3.83,8.447
152,0.83,Premium,D,SI1,62.5,54.0,6.08,6.02,3.78,8.176
153,0.4,Very Good,D,VS2,64.4,52.0,4.63,4.68,3.0,6.819
154,0.51,Fair,E,SI1,64.8,58.0,5.07,5.02,3.27,7.12
155,1.52,Premium,E,VS1,59.9,60.0,7.47,7.39,4.45,9.728
156,0.52,Very Good,G,VVS1,59.2,58.0,5.28,5.31,3.14,7.623
157,1.01,Fair,G,SI2,65.1,58.0,6.29,6.21,4.07,8.149
158,1.1,Premium,G,VS2,59.4,60.0,6.78,6.72,4.01,8.857
159,1.02,Ideal,G,VS2,62.6,57.0,6.43,6.41,4.02,8.686
160,0.71,Very Good,H,VVS1,62.7,59.0,5.65,5.67,3.55,7.985
161,1.51,Premium,G,VS2,61.2,61.0,7.44,7.33,4.52,9.488
162,0.36,Premium,D,SI2,61.2,59.0,4.59,4.56,2.8,6.535
163,2.08,Premium,I,VS2,58.9,61.0,8.36,8.35,4.92,9.823
164,0.4,Premium,E,SI1,60.9,60.0,4.75,4.77,2.9,6.603
165,1.71,Ideal,J,VS1,62.4,56.0,7.59,7.63,4.75,9.241
166,0.52,Very Good,G,SI2,63.1,56.0,5.12,5.08,3.22,7.048
167,0.51,Ideal,G,VS2,61.9,55.0,5.07,5.1,3.15,7.279
168,0.28,Very Good,F,VVS1,61.5,56.0,4.24,4.27,2.61,6.561
169,0.71,Very Good,F,SI1,62.1,59.0,5.64,5.73,3.53,7.76
170,0.32,Ideal,G,VVS2,61.2,58.0,4.39,4.43,2.7,6.548
171,1.15,Premium,G,SI1,63.0,59.0,6.68,6.63,4.19,8.591
172,0.27,Very Good,G,VVS2,62.4,56.0,4.13,4.16,2.58,6.223
173,0.31,Good,H,SI1,63.6,57.0,4.32,4.33,2.75,6.1
174,1.02,Very Good,G,VS1,62.4,58.0,6.37,6.42,3.99,8.798
175,1.05,Ideal,D,SI2,60.2,57.0,6.58,6.65,3.98,8.503
176,2.21,Very Good,F,SI2,61.0,58.0,8.36,8.43,5.12,9.825
177,0.31,Very Good,H,VS2,63.2,58.0,4.33,4.31,2.73,6.443
178,0.7,Premium,E,VS1,62.7,60.0,5.64,5.59,3.52,7.899
179,0.37,Very Good,H,SI1,62.6,63.0,4.6,4.5,2.85,6.196
180,0.31,Ideal,G,VS2,62.4,55.0,4.32,4.3,2.69,6.548
181,0.61,Very Good,G,VS1,62.7,57.0,5.36,5.43,3.38,7.641
182,1.06,Ideal,I,SI1,61.8,55.0,6.54,6.57,4.04,8.648
183,0.38,Very Good,F,SI1,61.5,54.0,4.69,4.71,2.89,6.492
184,0.38,Ideal,D,VS1,62.0,57.0,4.69,4.7,2.91,6.782
185,0.31,Premium,I,VVS2,59.4,59.0,4.41,4.44,2.63,6.299
186,0.3,Premium,I,SI1,60.9,59.0,4.36,4.34,2.65,6.227
187,0.3,Very Good,G,VVS1,63.1,58.0,4.31,4.28,2.71,6.921
188,0.7,Good,H,I1,57.4,63.0,5.89,5.8,3.36,7.135
189,0.54,Ideal,G,VS1,61.4,57.0,5.23,5.2,3.2,7.429
190,0.5,Very Good,E,VS2,63.2,57.0,5.06,5.03,3.19,7.396
191,0.8,Good,G,I1,63.7,55.0,5.91,5.81,3.73,7.208
192,1.06,Premium,E,SI1,62.0,61.0,6.55,6.51,4.05,8.61
193,0.53,Very Good,I,SI1,59.7,63.0,5.22,5.3,3.14,6.828
194,0.3,Ideal,E,VS1,62.5,56.0,4.3,4.28,2.68,6.657
195,0.32,Ideal,F,VS2,61.3,57.0,4.4,4.37,2.69,6.719
196,0.31,Very Good,G,VS1,61.9,54.0,4.36,4.4,2.71,6.461
197,0.3,Ideal,E,VS2,61.4,56.0,4.32,4.34,2.66,6.678
198,1.32,Very Good,I,SI1,62.1,57.0,6.99,7.09,4.37,8.826
199,0.76,Very Good,E,SI1,63.0,59.0,5.76,5.8,3.64,7.889
200,0.34,Ideal,G,VVS1,62.1,55.0,4.49,4.46,2.78,6.863
201,2.01,Very Good,H,SI2,62.2,63.0,8.01,7.93,4.96,9.427
202,1.72,Good,F,SI1,64.3,60.0,7.52,7.56,4.85,9.51
203,0.33,Ideal,H,VVS2,62.2,56.0,4.46,4.44,2.77,6.75
204,0.97,Premium,I,VS2,62.2,56.0,6.34,6.29,3.94,8.281
205,0.5,Ideal,G,VVS2,61.2,56.0,5.1,5.13,3.13,7.516
206,0.4,Very Good,E,VS1,60.3,58.0,4.8,4.82,2.9,6.888
207,1.73,Premium,J,SI1,60.7,58.0,7.73,7.78,4.71,9.117
208,1.0,Premium,F,SI1,60.7,60.0,6.4,6.36,3.87,8.574
209,0.4,Very Good,J,VS2,62.5,60.0,4.67,4.71,2.93,6.39
210,0.63,Very Good,D,SI1,62.8,57.0,5.4,5.46,3.41,7.542
211,1.15,Ideal,G,VS2,61.6,55.0,6.74,6.76,4.16,8.934
212,0.7,Ideal,J,SI1,60.1,59.0,5.79,5.75,3.47,7.575
213,1.51,Premium,J,SI1,59.9,60.0,7.46,7.41,4.45,8.965
214,2.01,Good,I,SI1,64.1,62.0,7.94,7.85,5.06,9.517
215,0.31,Good,F,VS1,56.7,60.0,4.57,4.5,2.57,6.702
216,0.23,Very Good,D,VVS1,63.3,57.0,3.9,3.93,2.48,6.17
217,0.38,Very Good,E,VS1,61.5,58.0,4.64,4.69,2.87,6.908
218,0.78,Fair,F,SI2,64.6,53.0,5.83,5.78,3.75,7.746
219,0.36,Very Good,F,VVS2,61.6,55.0,4.58,4.6,2.83,6.771
220,0.31,Very Good,G,VS1,62.8,58.0,4.27,4.3,2.69,6.438
221,1.51,Ideal,J,VS2,62.4,57.0,7.35,7.3,4.57,8.943
222,0.39,Very Good,F,VS1,62.0,56.0,4.72,4.64,2.9,6.878
223,0.5,Ideal,G,VS2,62.0,57.0,5.08,5.11,3.16,7.279
224,0.4,Good,F,SI1,63.6,59.0,4.67,4.64,2.96,6.767
225,1.16,Ideal,J,SI1,61.8,55.0,6.75,6.78,4.18,8.542
226,0.41,Ideal,F,VS1,61.9,55.0,4.8,4.76,2.96,6.981
227,0.45,Premium,G,VVS1,60.8,58.0,4.98,4.92,3.01,7.188
228,1.0,Very Good,H,SI1,60.9,58.0,6.43,6.46,3.93,8.573
229,0.32,Ideal,E,SI2,61.3,56.0,4.42,4.45,2.72,6.057
230,0.69,Very Good,D,SI1,57.6,62.0,5.83,5.9,3.38,7.708
231,0.72,Ideal,F,VS2,62.0,57.0,5.77,5.72,3.56,7.866
232,1.04,Premium,E,SI2,61.6,59.0,6.55,6.57,4.04,8.334
233,0.61,Very Good,E,IF,61.7,58.0,5.39,5.47,3.35,8.113
234,0.77,Premium,F,VS2,62.4,59.0,5.85,5.81,3.64,8.012
235,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,9.825
236,1.5,Good,E,VVS2,64.3,58.0,7.2,7.13,4.61,9.767
237,0.38,Premium,D,SI2,61.1,58.0,4.68,4.62,2.84,6.7
238,0.32,Ideal,E,VS2,61.9,56.0,4.35,4.4,2.71,6.554
239,0.42,Premium,H,VS1,61.7,59.0,4.76,4.83,2.96,6.742
240,0.25,Very Good,F,VVS1,61.8,55.0,4.06,4.09,2.52,6.45
241,0.4,Very Good,G,SI1,61.6,59.0,4.66,4.72,2.89,6.554
242,1.02,Ideal,G,VS2,62.8,57.0,6.36,6.45,4.02,8.767
243,0.92,Premium,I,SI1,60.4,59.0,6.31,6.24,3.79,7.912
244,0.32,Ideal,G,VS2,61.4,56.0,4.39,4.37,2.69,6.579
245,1.12,Ideal,I,SI1,61.7,58.0,6.66,6.6,4.09,8.479
246,1.22,Ideal,F,VS2,61.5,57.0,6.87,6.91,4.24,9.081
247,0.32,Ideal,G,IF,61.9,54.0,4.4,4.42,2.73,6.822
248,1.01,Ideal,F,VS2,61.0,56.0,6.44,6.4,3.94,8.642
249,0.3,Ideal,D,VS2,61.5,55.0,4.35,4.3,2.66,6.815
250,0.71,Ideal,G,SI1,59.7,60.0,5.79,5.81,3.46,7.833
251,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,9.751
252,0.31,Ideal,G,VVS1,60.6,57.0,4.4,4.38,2.66,6.953
253,0.34,Ideal,H,VVS1,62.2,54.0,4.48,4.53,2.8,6.607
254,0.9,Fair,E,SI2,64.5,55.0,6.12,6.03,3.92,8.034
255,0.5,Ideal,D,SI1,60.9,57.0,5.18,5.14,3.14,7.411
256,0.58,Ideal,D,SI1,61.1,57.0,5.36,5.41,3.29,7.46
257,0.3,Very Good,G,VVS2,62.3,59.0,4.25,4.29,2.66,6.528
258,2.0,Very Good,J,SI2,59.8,60.0,8.09,8.13,4.85,9.375
259,0.56,Ideal,J,VS2,61.7,54.0,5.31,5.36,3.29,6.998
260,0.51,Ideal,E,VVS1,61.3,56.0,5.13,5.21,3.17,8.07
261,0.23,Ideal,G,SI1,61.2,56.0,3.97,4.0,2.44,5.927
262,0.26,Very Good,F,VS1,59.5,58.0,4.18,4.23,2.5,6.116
263,1.38,Fair,G,SI2,61.2,59.0,7.19,7.13,4.38,8.462
264,0.33,Premium,G,VS2,62.6,58.0,4.41,4.44,2.77,6.361
265,0.31,Ideal,D,VS2,62.2,56.0,4.32,4.33,2.69,6.599
266,0.32,Very Good,D,SI1,63.1,56.0,4.38,4.34,2.75,6.628
267,0.43,Very Good,G,IF,62.7,58.0,4.8,4.84,3.02,7.159
268,0.3,Ideal,D,SI1,62.0,53.0,4.33,4.35,2.69,6.261
269,0.7,Ideal,F,SI1,61.1,56.0,5.74,5.78,3.52,7.89
270,1.01,Good,F,VS2,64.1,59.0,6.16,6.23,3.97,8.706
271,0.37,Ideal,D,SI1,61.5,57.0,4.6,4.63,2.84,6.524
272,0.77,Premium,F,SI1,60.0,61.0,5.97,5.93,3.57,7.918
273,0.37,Ideal,E,SI1,61.0,56.0,4.66,4.68,2.85,6.418
274,0.25,Very Good,F,VVS2,62.0,59.0,3.99,4.04,2.49,6.356
275,1.01,Very Good,E,SI1,62.9,59.0,6.3,6.38,3.99,8.469
276,0.32,Ideal,H,VS1,61.5,57.0,4.42,4.4,2.71,6.579
277,1.18,Very Good,G,SI1,60.8,58.0,6.81,6.85,4.15,8.746
278,0.7,Ideal,F,VS2,60.8,56.0,5.78,5.79,3.52,7.987
279,1.86,Premium,G,SI2,62.8,58.0,7.83,7.75,4.89,9.505
280,0.3,Premium,G,IF,61.0,62.0,4.34,4.32,2.64,6.863
281,0.75,Ideal,G,VVS2,61.3,55.0,5.85,5.89,3.59,8.168
282,0.52,Ideal,H,VS1,61.7,55.0,5.21,5.17,3.2,7.49
283,1.14,Very Good,E,SI2,60.2,58.0,6.71,6.78,4.06,8.52
284,1.0,Ideal,E,SI2,62.2,52.0,6.42,6.47,4.01,8.478
285,1.51,Premium,G,VVS2,60.9,58.0,7.42,7.38,4.51,9.636
286,0.71,Premium,E,VS2,61.3,59.0,5.7,5.76,3.51,7.875
287,0.7,Ideal,G,VS2,62.3,57.0,5.67,5.7,3.54,7.909
288,1.23,Very Good,E,VVS1,61.2,59.0,6.9,6.98,4.25,9.673
289,0.91,Fair,F,SI1,64.9,57.0,6.13,6.08,3.96,7.997
290,0.67,Very Good,G,VS2,61.7,59.7,5.56,5.61,3.45,7.664
291,0.3,Ideal,E,SI1,61.7,55.0,4.33,4.36,2.68,6.461
292,0.51,Very Good,I,VS2,60.3,63.0,5.16,5.13,3.1,6.974
293,1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,8.249
294,1.22,Ideal,H,VS1,62.7,55.0,6.82,6.73,4.25,8.661
295,1.51,Good,I,SI1,63.9,59.0,7.18,7.26,4.61,9.113
296,0.7,Premium,E,SI1,61.9,59.0,5.74,5.66,3.53,7.786
297,0.41,Good,J,VS1,63.2,59.0,4.67,4.7,2.96,6.431
298,1.03,Ideal,F,IF,61.3,56.0,6.53,6.55,4.01,9.338
299,0.9,Fair,G,VS2,65.8,61.0,5.99,5.96,3.93,8.368
300,0.41,Premium,G,VS2,61.6,58.0,4.78,4.73,2.93,6.967
301,0.35,Premium,G,VS1,60.7,61.0,4.58,4.54,2.77,6.809
302,0.34,Ideal,E,VVS1,61.1,56.0,4.52,4.55,2.77,7.097
303,0.72,Premium,G,SI1,60.6,59.0,5.8,5.76,3.5,7.717
304,0.25,Very Good,E,VVS2,63.4,58.0,3.97,4.01,2.53,6.354
305,0.33,Ideal,E,SI2,62.2,54.0,4.44,4.46,2.77,6.057
306,0.24,Very Good,D,VVS1,59.2,59.0,4.04,4.1,2.41,6.17
307,0.33,Very Good,H,VVS2,61.9,56.0,4.44,4.47,2.76,6.42
308,1.51,Very Good,H,VS2,60.9,54.0,7.38,7.41,4.5,9.313
309,1.07,Ideal,F,SI1,62.3,56.0,6.51,6.53,4.06,8.732
310,0.24,Ideal,I,VVS1,62.3,57.0,3.98,3.95,2.47,6.068
311,1.22,Good,G,VS2,59.9,61.0,6.88,6.91,4.13,9.052
312,1.5,Very Good,I,SI1,60.2,63.0,7.38,7.33,4.43,8.873
313,1.12,Ideal,F,VVS2,62.2,55.0,6.64,6.68,4.14,9.301
314,0.32,Premium,E,VS2,60.5,55.0,4.49,4.43,2.7,6.802
315,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,8.789
316,0.72,Very Good,I,VS2,63.3,59.0,5.66,5.62,3.57,7.686
317,1.01,Premium,G,SI1,63.0,60.0,6.34,6.3,3.98,8.323
318,2.53,Fair,H,SI2,64.6,59.0,8.54,8.45,5.4,9.747
319,0.42,Ideal,H,VS2,62.5,57.0,4.76,4.81,2.99,6.65
320,0.32,Ideal,F,VVS1,61.7,56.0,4.42,4.4,2.72,6.898
321,1.12,Premium,G,SI1,60.1,58.0,6.78,6.83,4.09,8.563
322,0.8,Ideal,F,SI1,62.8,54.0,5.9,5.97,3.74,7.998
323,0.52,Ideal,H,VVS1,62.1,53.8,5.17,5.19,3.21,7.477
324,0.24,Very Good,E,VVS2,58.5,59.0,4.04,4.09,2.38,6.314
325,0.57,Very Good,E,SI1,60.3,57.0,5.34,5.4,3.24,7.383
326,0.3,Ideal,E,VVS2,61.9,59.0,4.27,4.3,2.65,6.641
327,0.5,Ideal,H,VS1,61.4,54.0,5.13,5.16,3.16,7.223
328,0.77,Premium,F,SI1,60.8,59.0,5.92,5.86,3.58,7.957
329,0.48,Good,G,SI1,64.7,58.0,4.84,4.93,3.16,6.818
330,0.32,Ideal,G,VVS2,60.6,57.0,4.43,4.41,2.68,6.842
331,1.0,Good,D,SI2,64.3,60.0,6.22,6.19,3.99,8.285
332,1.08,Very Good,H,SI1,63.4,57.0,6.54,6.51,4.14,8.573
333,0.69,Fair,G,VS1,61.2,65.4,5.58,5.64,3.42,7.712
334,0.72,Ideal,E,VVS1,61.6,56.0,5.75,5.77,3.55,8.456
335,1.02,Premium,G,SI1,61.7,58.0,6.47,6.37,3.96,8.55
336,0.28,Very Good,E,VVS2,60.0,56.0,4.26,4.28,2.56,6.465
337,0.33,Ideal,E,VVS1,61.3,56.0,4.43,4.48,2.73,7.03
338,0.52,Ideal,F,VS1,61.2,57.0,5.16,5.2,3.17,7.483
339,0.36,Ideal,G,SI2,61.1,54.0,4.61,4.65,2.83,6.225
340,0.32,Ideal,G,VVS1,61.2,55.0,4.41,4.44,2.71,6.702
341,0.43,Premium,G,VS2,61.1,59.0,4.86,4.83,2.96,7.015
